OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,3.546,10.88219,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.021,0.06445,OK
RG-20516-S-2,Buckman #4,0.057,0.17493,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,0.316,0.96976,OK
RG-20516-S-7,Buckman #7,0.024,0.07365,OK
RG-20516-S-8,Buckman #8,0.282,0.86542,OK
RG-20516-S-9,Buckman #9,0.021,0.06445,OK
RG-20516-S-10,Buckman #10,0.000,0.00000,OK
RG-20516-S-11,Buckman #11,0.000,0.00000,OK
RG-20516-S-12,Buckman #12,0.000,0.00000,OK
RG-20516-S-13,Buckman #13,0.000,0.00000,OK
Calculated_Sum,,4.267,13.09485,
