OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,0.000,0.00000,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,5.450,16.72531,OK
RG-20516-S-2,Buckman #4,0.000,0.00000,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,0.000,0.00000,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,0.000,0.00000,OK
RG-20516-S-9,Buckman #9,0.000,0.00000,OK
RG-20516-S-10,Buckman #10,0.025,0.07672,OK
RG-20516-S-11,Buckman #11,1.177,3.61205,OK
RG-20516-S-12,Buckman #12,0.025,0.07672,OK
RG-20516-S-13,Buckman #13,0.096,0.29461,OK
Calculated_Sum,,6.773,20.78542,
